ID,Title,StudyArea,WMU,Method,TelemFixRate,TelemType,SurveyType,Strata,DataCollected,Scale,Grain,Extent,Season,StartMonth,EndMonth,StartYear,EndYear,Duration,Species,Multi,Individuals,SampleUnit,SampleSize,Predictor,PredictorInteraction,PredictorType,Response,ResponseType,MetricNum,DensityUnit,MetricText,SE,CILevel,CIL,CIU,RangeL,RangeU,Comments,
138,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Jan,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,,,,MFSexRatio,ratio,,,30:70,,,,,,,,
139,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Jan,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,,,,AgeAntler,r2,0.62,,,,,,,,,,
140,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,May,June,1976,1976,0,Moose,FALSE,TRUE,Individual,66,,,,CalfCow,ratio,,,75:100,,,,,,,,
141,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Sep,Sep,1976,1976,0,Moose,FALSE,TRUE,Individual,66,,,,CalfCow,ratio,,,25:100,,,,,,,,
142,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Sep,Sep,1977,197,0,Moose,FALSE,TRUE,Individual,66,,,,CalfCow,ratio,,,76:100,,,,,,,,
143,Dynamics of moose populations in northeastern Alberta,Bitumont,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,1685,,May,June,1978,1978,0,Moose,FALSE,TRUE,Individual,66,,LowTimber,,CalfCow,ratio,,,100:100,,,,,,,,
144,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,24997,,May,June,1976,1976,0,Moose,FALSE,TRUE,Individual,66,,,,CalfSurvival,rate,0.44,,,,,,,,,,
145,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,24998,,June,Apr,1976,1977,0,Moose,FALSE,TRUE,Individual,66,,,,CalfSurvival,rate,0.73,,,,,,,,,,
146,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,24999,,June,April,1977,1978,0,Moose,FALSE,TRUE,Individual,66,,,,CalfSurvival,rate,0.44,,,,,,,,,,
147,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,May,June,1978,1978,0,Moose,FALSE,TRUE,Individual,66,,,,CalfSurvival,rate,0.64,,,,,,,,,,
148,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Jan,Dec,1976,1976,0,Moose,FALSE,TRUE,Individual,66,,,,AdultSurvival,rate,0.82,,,,,,,,,,
149,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Jan,Dec,1977,1977,0,Moose,FALSE,TRUE,Individual,66,,,,AdultSurvival,rate,0.74,,,,,,,,,,
150,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25000,,Jan,June,1978,1978,0,Moose,FALSE,TRUE,Individual,66,,,,AdultSurvival,rate,0.78,,,,,,,,,,
151,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25001,Winter,Jan,Dec,1975,1978,0,Moose,FALSE,TRUE,Individual,66,,,,HRA,MCP,30,,,,,,,3,111,,
152,Dynamics of moose populations in northeastern Alberta,AOSERP,518;519;529;530;531,Telemetry,"1,2weeks",Radio,,Search,ArealObs,StudyArea,-1,25002,Summer,Jan,Dec,1976,1977,0,Moose,FALSE,TRUE,Individual,66,,,,HRA,MCP,57,,,,,,,12,141,,
153,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,Telemetry,"1,2weeks",Radio,,Search,ArealProp,Population,-1,25000,,Feb,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,Upland,,,Use,proportion,0.54,,,,,,,,,,
154,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,Telemetry,"1,2weeks",Radio,,Search,ArealProp,Population,-1,25000,,Feb,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,LowLand,,,Use,proportion,0.46,,,,,,,,,,
155,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,Telemetry,"1,2weeks",Radio,,Search,ArealProp,Population,-1,25000,,Feb,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,Upland,,,Selection,ratio,0.009,,,,,,,,,,
156,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,Telemetry,"1,2weeks",Radio,,Search,ArealProp,Population,,25000,,Feb,June,1976,1978,0,Moose,FALSE,TRUE,Individual,66,LowLand,,,Selection,ratio,0.0115,,,,,,,,,,
160,Dynamics of moose populations in northeastern Alberta,Bitumont,530;531,CensusFlights,,,,StratifiedRandomQuadrats,,StudyArea,3,1685,,Jan,Jan,1975,1975,0,Moose,FALSE,FALSE,,,,,,Abundance,,,,,,,,,,,,
